rental_cost,price_reduction_amount,dimension,rooms,bathrooms,elevator,terrace,air_conditioning,balcony,pool,city,district,type,floor,scraping_date
1800.0,0.0,75.0,3.0,1.0,0.0,,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Apartamento,,17-03-2024 | 13:21
1950.0,,110.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,bajo,17-03-2024 | 13:22
1950.0,,134.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,bajo,17-03-2024 | 13:22
2800.0,0.0,147.0,4.0,2.0,1.0,,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,,17-03-2024 | 13:22
850.0,0.0,36.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,1ª,17-03-2024 | 13:23
1500.0,,53.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Apartamento,1ª,17-03-2024 | 13:23
1200.0,0.0,55.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,1ª,17-03-2024 | 13:23
1500.0,0.0,54.0,2.0,1.0,1.0,,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,,17-03-2024 | 13:23
1400.0,0.0,65.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,2ª,17-03-2024 | 13:24
1100.0,0.0,105.0,1.0,2.0,1.0,,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,,17-03-2024 | 13:25
1300.0,0.0,125.0,3.0,1.0,0.0,,0.0,,0.0,Barcelona,Sants - Montjuïc,Piso,,17-03-2024 | 13:25
2000.0,0.0,60.0,3.0,2.0,0.0,0.0,0.0,,0.0,Barcelona,Sants - Montjuïc,Piso,5ª,17-03-2024 | 13:26
1349.0,0.0,64.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,,17-03-2024 | 13:27
1950.0,0.0,97.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Ático,7ª,17-03-2024 | 13:27
1600.0,0.0,58.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,2ª,17-03-2024 | 13:27
1380.0,0.0,80.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,bajo,17-03-2024 | 13:27
1690.0,,65.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,3ª,17-03-2024 | 13:28
1300.0,0.0,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,3ª,17-03-2024 | 13:28
1600.0,0.0,124.0,2.0,2.0,0.0,0.0,0.0,,0.0,Barcelona,Sants - Montjuïc,Piso,4ª,17-03-2024 | 13:29
950.0,0.0,60.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,2ª,17-03-2024 | 13:29
1500.0,0.0,72.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,,17-03-2024 | 13:30
1500.0,0.0,55.0,2.0,1.0,0.0,,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,3ª,17-03-2024 | 13:31
1550.0,,70.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,3ª,17-03-2024 | 13:31
1500.0,0.0,70.0,2.0,1.0,0.0,0.0,0.0,,0.0,Barcelona,Sants - Montjuïc,Piso,1ª,17-03-2024 | 13:32
1300.0,0.0,51.0,2.0,1.0,0.0,,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,4ª,17-03-2024 | 13:32
1500.0,0.0,60.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,4ª,17-03-2024 | 13:32
1450.0,0.0,74.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,3ª,17-03-2024 | 13:32
2300.0,0.0,100.0,3.0,2.0,1.0,0.0,0.0,,0.0,Barcelona,Sants - Montjuïc,Piso,,17-03-2024 | 13:33
1500.0,0.0,70.0,3.0,1.0,0.0,0.0,0.0,,0.0,Barcelona,Sants - Montjuïc,Piso,4ª,17-03-2024 | 13:33
2510.0,0.0,58.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Apartamento,6ª,17-03-2024 | 13:33
1880.0,0.0,54.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,2ª,17-03-2024 | 13:33
1390.0,0.0,48.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,2ª,17-03-2024 | 13:33
1390.0,0.0,47.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,bajo,17-03-2024 | 13:33
1490.0,0.0,45.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,1ª,17-03-2024 | 13:33
1700.0,0.0,40.0,1.0,1.0,0.0,,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,7ª,17-03-2024 | 13:34
1425.0,0.0,51.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,,17-03-2024 | 13:34
1990.0,0.0,106.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,bajo,17-03-2024 | 13:34
1200.0,0.0,48.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,3ª,17-03-2024 | 13:35
1500.0,0.0,85.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,,17-03-2024 | 13:35
1800.0,0.0,56.0,2.0,1.0,0.0,,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,1ª,17-03-2024 | 13:36
1800.0,0.0,85.0,3.0,2.0,1.0,,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Dúplex,,17-03-2024 | 13:36
1690.0,,72.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,4ª,17-03-2024 | 13:36
1100.0,0.0,41.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,3ª,17-03-2024 | 13:36
1400.0,,72.0,2.0,1.0,1.0,,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Ático,,17-03-2024 | 13:37
1550.0,0.0,120.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,1ª,17-03-2024 | 13:37
1800.0,0.0,85.0,0.0,1.0,0.0,,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,4ª,17-03-2024 | 13:37
2500.0,0.0,120.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,10ª,17-03-2024 | 13:37
1900.0,0.0,61.0,2.0,1.0,0.0,,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,,17-03-2024 | 13:37
1600.0,0.0,52.0,2.0,1.0,0.0,0.0,0.0,,0.0,Barcelona,Sants - Montjuïc,Piso,1ª,17-03-2024 | 13:37
910.0,,60.0,2.0,1.0,0.0,0.0,0.0,,0.0,Barcelona,Sants - Montjuïc,Piso,1ª,17-03-2024 | 13:38
1400.0,0.0,70.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,4ª,17-03-2024 | 13:38
1500.0,0.0,91.0,3.0,2.0,1.0,,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,,17-03-2024 | 13:38
1700.0,0.0,100.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,7ª,17-03-2024 | 13:38
1200.0,0.0,23.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Apartamento,5ª,17-03-2024 | 13:39
1250.0,0.0,52.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,1ª,17-03-2024 | 13:39
1500.0,0.0,60.0,2.0,1.0,0.0,,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Apartamento,4ª,17-03-2024 | 13:39
2000.0,,53.0,3.0,2.0,0.0,0.0,,0.0,0.0,Barcelona,Sants - Montjuïc,Apartamento,6ª,17-03-2024 | 13:39
1700.0,0.0,55.0,1.0,1.0,0.0,,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Apartamento,6ª,17-03-2024 | 13:40
1795.0,0.0,70.0,3.0,1.0,0.0,0.0,,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,bajo,17-03-2024 | 13:40
995.0,0.0,25.0,1.0,1.0,0.0,0.0,,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,bajo,17-03-2024 | 13:40
1550.0,0.0,43.0,1.0,1.0,0.0,0.0,0.0,,0.0,Barcelona,Sants - Montjuïc,Piso,,17-03-2024 | 13:40
1300.0,0.0,63.0,1.0,1.0,0.0,0.0,0.0,,0.0,Barcelona,Sants - Montjuïc,Piso,,17-03-2024 | 13:40
1950.0,,95.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Apartamento,3ª,17-03-2024 | 13:40
1200.0,0.0,62.0,1.0,1.0,0.0,0.0,,0.0,0.0,Barcelona,Sants - Montjuïc,Dúplex,bajo,17-03-2024 | 13:40
1250.0,0.0,45.0,1.0,1.0,0.0,,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Ático,2ª,17-03-2024 | 13:41
2300.0,0.0,106.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,,17-03-2024 | 13:41
1900.0,0.0,70.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,,17-03-2024 | 13:41
790.0,0.0,43.0,1.0,1.0,0.0,0.0,,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,4ª,17-03-2024 | 13:41
2400.0,0.0,109.0,3.0,2.0,0.0,,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,6ª,17-03-2024 | 13:41
1295.0,0.0,60.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Barcelona,Sants - Montjuïc,Piso,3ª,17-03-2024 | 13:41
